Unnamed: 0,index,IUPAC,isomeric_SMILES,BaseMaterial,Alloy,Method,AggressiveComponent,Operating_Concentration_mM,IE,References,Year,Journal,canonical_SMILES,transformed_IE,transformed_smiles,transformed_alloy,transformed_base_material
56,21,"4,40-bis(3-carboxaldehyde thiophene) diphenyl diimino ether",C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,66,Novel thiophene symmetrical Schiff base compounds as corrosion inhibitor for mild steel in acidic media,2011,Corrosion Science,C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,56.45383686324378,A{~DLaraaa{Baeaaa{LD~ALataaeat}aae}aar}Raraaear,SAMPLE_23,BASE_3
57,21,"4,40-bis(3-carboxaldehyde thiophene) diphenyl diimino ether",C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,91.6,Novel thiophene symmetrical Schiff base compounds as corrosion inhibitor for mild steel in acidic media,2011,Corrosion Science,C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,42.9128396698568,A{~DLaraaa{Baeaaa{LD~ALataaeat}aae}aar}Raraaear,SAMPLE_23,BASE_3
58,22,4-(4-(4-((Pyridin-2-yl)methyleneamino)phenoxy)phenoxy)-N-((pyridin-2-yl)methylene)benzenamine,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,87.83,"Effect of stereochemical conformation into the corrosion inhibitive behaviour of double azomethine based Schiff bases on mild steel surface in 1 mol L−1 HCl medium: An experimental, density functional theory and molecular dynamics simulation study",2019,Corrosion Science,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,46.50350959801993,A{~DLaraaa{Baeaaa{Bataaa{LD~ALauaaaadu}aat}aae}aar}Raraaaadr,SAMPLE_23,BASE_3
59,22,4-(4-(4-((Pyridin-2-yl)methyleneamino)phenoxy)phenoxy)-N-((pyridin-2-yl)methylene)benzenamine,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,76.04,"Effect of stereochemical conformation into the corrosion inhibitive behaviour of double azomethine based Schiff bases on mild steel surface in 1 mol L−1 HCl medium: An experimental, density functional theory and molecular dynamics simulation study",2019,Corrosion Science,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,53.0643014624769,A{~DLaraaa{Baeaaa{Bataaa{LD~ALauaaaadu}aat}aae}aar}Raraaaadr,SAMPLE_23,BASE_3
60,22,4-(4-(4-((Pyridin-2-yl)methyleneamino)phenoxy)phenoxy)-N-((pyridin-2-yl)methylene)benzenamine,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,93,"Effect of stereochemical conformation into the corrosion inhibitive behaviour of double azomethine based Schiff bases on mild steel surface in 1 mol L−1 HCl medium: An experimental, density functional theory and molecular dynamics simulation study",2019,Corrosion Science,C(=N/c1ccc(Oc2ccc(Oc3ccc(/N=C/c4ccccn4)cc3)cc2)cc1)\c1ccccn1,41.14703979812659,A{~DLaraaa{Baeaaa{Bataaa{LD~ALauaaaadu}aat}aae}aar}Raraaaadr,SAMPLE_23,BASE_3
61,23,"(E,E)-N,N0-dibenzo[b,d]thiene-2,8-diylbis[1-(thiophen-2-yl)methanimine]",C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,86.4,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,Corrosion Science,C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,47.579482753600665,A{~DLaraaaeeataaa{LD~ALauaaaeu}aataear}Raraaaer,SAMPLE_23,BASE_3
62,23,"(E,E)-N,N0-dibenzo[b,d]thiene-2,8-diylbis[1-(thiophen-2-yl)methanimine]",C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,58.03,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,Corrosion Science,C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,58.493463118831315,A{~DLaraaaeeataaa{LD~ALauaaaeu}aataear}Raraaaer,SAMPLE_23,BASE_3
63,23,"(E,E)-N,N0-dibenzo[b,d]thiene-2,8-diylbis[1-(thiophen-2-yl)methanimine]",C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,79.06,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,Corrosion Science,C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,51.75948250013347,A{~DLaraaaeeataaa{LD~ALauaaaeu}aataear}Raraaaer,SAMPLE_23,BASE_3
64,23,"(E,E)-N,N0-dibenzo[b,d]thiene-2,8-diylbis[1-(thiophen-2-yl)methanimine]",C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,69.7,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,Corrosion Science,C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,55.33799092375759,A{~DLaraaaeeataaa{LD~ALauaaaeu}aataear}Raraaaer,SAMPLE_23,BASE_3
65,23,"(E,E)-N,N0-dibenzo[b,d]thiene-2,8-diylbis[1-(thiophen-2-yl)methanimine]",C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,82.17,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,2015,Corrosion Science,C(=N/c1ccc2sc3ccc(/N=C/c4cccs4)cc3c2c1)\c1cccs1,50.20232632653302,A{~DLaraaaeeataaa{LD~ALauaaaeu}aataear}Raraaaer,SAMPLE_23,BASE_3
66,24,triazolebis-Schiffbase(TSB),C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,91.2,"Synthesis, antibacterial and antioxidant activities of Thiazole-based Schiff base derivatives: a combined experimental and computational study",2021,BMC Chemistry,C(=Nc1nc[nH]n1)c1ccc(C=Nc2nc[nH]n2)cc1,43.36339000019329,A{~Darda<dH>dr}araaa{A~Daeda<dH>de}aar,SAMPLE_23,BASE_3
67,25,triglycidyl ether of triethoxy triazine (TGETET),C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,84,Novel derivative epoxy resin TGETET as a corrosion inhibition of E24 carbon steel in 1.0 M HCl solution. Experimental and computational (DFT and MD simulations) methods,2019,Journal of Molecular Liquids,C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,49.15349248622498,A{ABarda{BAABAAeABe}da{BAABAAeABe}dr}BAArABr,SAMPLE_23,BASE_3
68,25,triglycidyl ether of triethoxy triazine (TGETET),C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,74,Novel derivative epoxy resin TGETET as a corrosion inhibition of E24 carbon steel in 1.0 M HCl solution. Experimental and computational (DFT and MD simulations) methods,2019,Journal of Molecular Liquids,C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,53.85567720813477,A{ABarda{BAABAAeABe}da{BAABAAeABe}dr}BAArABr,SAMPLE_23,BASE_3
69,25,triglycidyl ether of triethoxy triazine (TGETET),C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,79,Novel derivative epoxy resin TGETET as a corrosion inhibition of E24 carbon steel in 1.0 M HCl solution. Experimental and computational (DFT and MD simulations) methods,2019,Journal of Molecular Liquids,C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,51.787193779499894,A{ABarda{BAABAAeABe}da{BAABAAeABe}dr}BAArABr,SAMPLE_23,BASE_3
70,25,triglycidyl ether of triethoxy triazine (TGETET),C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.001,68,Novel derivative epoxy resin TGETET as a corrosion inhibition of E24 carbon steel in 1.0 M HCl solution. Experimental and computational (DFT and MD simulations) methods,2019,Journal of Molecular Liquids,C(COc1nc(OCCOCC2CO2)nc(OCCOCC2CO2)n1)OCC1CO1,55.8666822156552,A{ABarda{BAABAAeABe}da{BAABAAeABe}dr}BAArABr,SAMPLE_23,BASE_3
71,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,CPMg220ppmFe,H2 evolution,0.5 wt.% NaCl,50.0,39,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,62.11489855097961,ALA{~ALA{~B}B}A{~B}B,SAMPLE_20,BASE_4
72,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,HPMg51ppmFe,H2 evolution,0.5 wt.% NaCl,50.0,13,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,65.55343567213504,ALA{~ALA{~B}B}A{~B}B,SAMPLE_28,BASE_4
73,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,HPMg50ppmFe,H2 evolution,0.5 wt.% NaCl,50.0,36,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,62.57987194508542,ALA{~ALA{~B}B}A{~B}B,SAMPLE_27,BASE_4
74,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,WE43,H2 evolution,0.5 wt.% NaCl,50.0,23,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,64.37086061002866,ALA{~ALA{~B}B}A{~B}B,SAMPLE_33,BASE_4
75,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,ZE41,H2 evolution,0.5 wt.% NaCl,50.0,-73,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,72.21080342840698,ALA{~ALA{~B}B}A{~B}B,SAMPLE_34,BASE_4
76,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,E21,H2 evolution,0.5 wt.% NaCl,50.0,-4,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,67.2820566669952,ALA{~ALA{~B}B}A{~B}B,SAMPLE_26,BASE_4
77,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,AZ31,H2 evolution,0.5 wt.% NaCl,50.0,-60,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,71.45422605472852,ALA{~ALA{~B}B}A{~B}B,SAMPLE_16,BASE_4
78,26,(Z)-2-methylbut-2-enedioic acid(Citraconic acid),C/C(=C/C(=O)O)C(=O)O,Mg,AM50,H2 evolution,0.5 wt.% NaCl,50.0,-16,(Lamaka et al.;2017),2017,Corrosion Science,C/C(=C/C(=O)O)C(=O)O,68.33966114962216,ALA{~ALA{~B}B}A{~B}B,SAMPLE_14,BASE_4
79,27,3-[(Z)-N(4-aminobiphenyl-4yl)ethanimidoyl]-2-hydroy-6-methyl-4H-pyran-4-one (BD),C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,49.59,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,60.26810483400086,ALA{~DLaraaa{Maeaaa{D}aae}aar}ara{B}ba{A}aar~B,SAMPLE_23,BASE_3
80,27,3-[(Z)-N(4-aminobiphenyl-4yl)ethanimidoyl]-2-hydroy-6-methyl-4H-pyran-4-one (BD),C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,73.16,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,54.16363168473503,ALA{~DLaraaa{Maeaaa{D}aae}aar}ara{B}ba{A}aar~B,SAMPLE_23,BASE_3
81,27,3-[(Z)-N(4-aminobiphenyl-4yl)ethanimidoyl]-2-hydroy-6-methyl-4H-pyran-4-one (BD),C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.25,77.78,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,52.334113915213024,ALA{~DLaraaa{Maeaaa{D}aae}aar}ara{B}ba{A}aar~B,SAMPLE_23,BASE_3
82,27,3-[(Z)-N(4-aminobiphenyl-4yl)ethanimidoyl]-2-hydroy-6-methyl-4H-pyran-4-one (BD),C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.005,41.45,"Synthesis, density functional theory study, molecular dynamics simulation and anti-corrosion performance of two benzidine Schiff bases",2021,Journal of Molecular Structure,C/C(=N/c1ccc(-c2ccc(N)cc2)cc1)c1c(O)oc(C)cc1=O,61.71788002737358,ALA{~DLaraaa{Maeaaa{D}aae}aar}ara{B}ba{A}aar~B,SAMPLE_23,BASE_3
83,28,"(E)-4-(1-((3-hydroxyphenyl)imino)ethyl)benzene-1,3-diol(PSB1)",C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,89.7,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,44.8877466649167,ALA{~DRaraaaa{B}ar}araaa{B}aarB,SAMPLE_23,BASE_3
84,28,"(E)-4-(1-((3-hydroxyphenyl)imino)ethyl)benzene-1,3-diol(PSB1)",C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,89,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,45.52455438040617,ALA{~DRaraaaa{B}ar}araaa{B}aarB,SAMPLE_23,BASE_3
85,28,"(E)-4-(1-((3-hydroxyphenyl)imino)ethyl)benzene-1,3-diol(PSB1)",C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,83.6,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,49.39264255115142,ALA{~DRaraaaa{B}ar}araaa{B}aarB,SAMPLE_23,BASE_3
86,28,"(E)-4-(1-((3-hydroxyphenyl)imino)ethyl)benzene-1,3-diol(PSB1)",C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,79.3,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,51.64783762659039,ALA{~DRaraaaa{B}ar}araaa{B}aarB,SAMPLE_23,BASE_3
87,29,(E)-4-hydroxy-6-methyl-3-(1-(phenylimino) ethyl)-2H-pyran-2-one,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,86.5,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,47.508005783193795,ALA{~DRaraaaaar}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
88,29,(E)-4-hydroxy-6-methyl-3-(1-(phenylimino) ethyl)-2H-pyran-2-one,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,68.5,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,55.71415803144297,ALA{~DRaraaaaar}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
89,29,(E)-4-hydroxy-6-methyl-3-(1-(phenylimino) ethyl)-2H-pyran-2-one,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,77.5,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,52.455395640893805,ALA{~DRaraaaaar}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
90,29,(E)-4-hydroxy-6-methyl-3-(1-(phenylimino) ethyl)-2H-pyran-2-one,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.001,61.1,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1)c1c(O)cc(C)oc1=O,57.757776015017136,ALA{~DRaraaaaar}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
91,30,( E)-3-(1-((2-chlorophenyl)imino)ethyl)-4-hydroxy-6-methyl- 2H-pyran-2-one,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,81.4,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,50.61180349927435,ALA{~DRaraaaaarZ}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
92,30,( E)-3-(1-((2-chlorophenyl)imino)ethyl)-4-hydroxy-6-methyl- 2H-pyran-2-one,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,70.8,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,54.979846114509286,ALA{~DRaraaaaarZ}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
93,30,( E)-3-(1-((2-chlorophenyl)imino)ethyl)-4-hydroxy-6-methyl- 2H-pyran-2-one,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,78,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,52.2377441098364,ALA{~DRaraaaaarZ}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
94,30,( E)-3-(1-((2-chlorophenyl)imino)ethyl)-4-hydroxy-6-methyl- 2H-pyran-2-one,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.001,60.6,Anti-corrosion performance of pyran-2-one derivatives for mild steel in acidic medium: Electrochemical and theoretical study,2021,Chemical Data Collections,C/C(=N\c1ccccc1Cl)c1c(O)cc(C)oc1=O,57.88146972099025,ALA{~DRaraaaaarZ}ara{B}aa{A}bar~B,SAMPLE_23,BASE_3
95,31,"(E)-4-(1-(pyridin-2ylimino)ethyl)benzene-1,3-diol(PSB2)",C/C(=N\c1ccccn1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,90,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1ccccn1)c1ccc(O)cc1O,44.601467137007646,ALA{~DRaraaaadr}araaa{B}aarB,SAMPLE_23,BASE_3
96,31,"(E)-4-(1-(pyridin-2ylimino)ethyl)benzene-1,3-diol(PSB2)",C/C(=N\c1ccccn1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,85.5,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1ccccn1)c1ccc(O)cc1O,48.2000919613315,ALA{~DRaraaaadr}araaa{B}aarB,SAMPLE_23,BASE_3
97,31,"(E)-4-(1-(pyridin-2ylimino)ethyl)benzene-1,3-diol(PSB2)",C/C(=N\c1ccccn1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,80.8,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1ccccn1)c1ccc(O)cc1O,50.919292357955186,ALA{~DRaraaaadr}araaa{B}aarB,SAMPLE_23,BASE_3
98,31,"(E)-4-(1-(pyridin-2ylimino)ethyl)benzene-1,3-diol(PSB2)",C/C(=N\c1ccccn1)c1ccc(O)cc1O,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,78.6,Preventive behavior of phenol Schiff bases on mild steel corrosion in acidic medium part A_ Experimental and molecular modeling approach,2022,Chemical Data Collections,C/C(=N\c1ccccn1)c1ccc(O)cc1O,51.96993666383187,ALA{~DRaraaaadr}araaa{B}aarB,SAMPLE_23,BASE_3
99,32,1-methoxy-4-[(E)-prop-1-enyl]benzene(p-aniseed acid; Anethole),C/C=C/c1ccc(OC)cc1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,17,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,C/C=C/c1ccc(OC)cc1,65.09758280373495,ALA~ALaraaa{BA}aar,SAMPLE_37,BASE_1
100,33,2;5-diphenyl-1;4-dithiine(2;5-diphenyl-1;4-dithiadiene),C1=C(c2ccccc2)SC=C(c2ccccc2)S1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,29,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,C1=C(c2ccccc2)SC=C(c2ccccc2)S1,63.58515276975603,Ar~A{aeaaaaae}EA~A{aeaaaaae}Er,SAMPLE_37,BASE_1
101,34,[cyclopenta-2;4-dien-1-ylidene(phenyl)methyl]benzene(6;6-diphenylfulvene),C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,38,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,C1=CC(=C(c2ccccc2)c2ccccc2)C=C1,62.27238308640459,Ar~AA{~A{aeaaaaae}aeaaaaae}A~Ar,SAMPLE_37,BASE_1
102,35,Pyrrole aldazine oxide,C1=CCNC(C=NN=Cc2ccc[nH]2)=C1,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,-2,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,C1=CCNC(C=NN=Cc2ccc[nH]2)=C1,67.09399084461707,Ar~AADA{A~DD~Aaeaaa<dH>e}~Ar,SAMPLE_37,BASE_1
103,36,1H perimidine (PER),C1=Nc2cccc3cccc(c23)N1,Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,85.26,Corrosion inhibition of perimidine derivatives for mild steel in acidic media: Electrochemical and computational studies,2018,Journal of Molecular Liquids,C1=Nc2cccc3cccc(c23)N1,48.3590846240181,Ar~Daeaaaataaaa{aet}Dr,SAMPLE_23,BASE_3
104,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,CPMg220ppmFe,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-11,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,67.91293637996337,ArADAADr,SAMPLE_20,BASE_4
105,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,HPMg51ppmFe,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-110,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,74.08792734800343,ArADAADr,SAMPLE_28,BASE_4
106,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,HPMg50ppmFe,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-1,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,66.99857051088782,ArADAADr,SAMPLE_27,BASE_4
107,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,WE43,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-43,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,70.36630829060661,ArADAADr,SAMPLE_33,BASE_4
108,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,ZE41,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-88,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,73.01612185765447,ArADAADr,SAMPLE_34,BASE_4
109,37,Piperazine (1;4-Diazacyclohexane; Diethylenediamine),C1CNCCN1,Mg,E21,H2 evolution,0.5 wt.% NaCl,5.80463906754278,-252,(Lamaka et al.;2017),2017,Corrosion Science,C1CNCCN1,79.09050302755728,ArADAADr,SAMPLE_26,BASE_4
